lat,lon,HU
35.0,291.25,True
35.0,291.5,True
35.0,291.75,True
35.0,292.0,True
35.0,292.25,True
35.0,292.5,True
35.0,292.75,True
35.0,293.0,True
35.0,293.25,True
35.0,293.5,True
35.0,293.75,True
35.0,294.0,True
35.0,294.25,True
35.0,294.5,True
35.0,294.75,True
35.0,295.0,True
35.0,295.25,True
35.25,284.5,True
35.25,284.75,True
35.25,285.0,True
35.25,285.25,True
35.25,285.5,True
35.25,285.75,True
35.25,286.0,True
35.25,286.25,True
35.25,286.5,True
35.25,286.75,True
35.25,287.0,True
35.25,287.25,True
35.25,287.5,True
35.25,287.75,True
35.25,288.0,True
35.25,288.25,True
35.25,288.5,True
35.25,288.75,True
35.25,289.0,True
35.25,289.25,True
35.25,289.5,True
35.25,289.75,True
35.25,290.0,True
35.25,290.25,True
35.25,290.5,True
35.25,290.75,True
35.25,291.0,True
35.25,291.25,True
35.25,291.5,True
35.25,291.75,True
35.25,292.0,True
35.25,292.25,True
35.25,292.5,True
35.25,292.75,True
35.25,293.0,True
35.25,293.25,True
35.25,293.5,True
35.25,293.75,True
35.25,294.0,True
35.25,294.25,True
35.25,294.5,True
35.25,294.75,True
35.25,295.0,True
35.25,295.25,True
35.25,295.5,True
35.5,284.0,True
35.5,284.25,True
35.5,284.5,True
35.5,284.75,True
35.5,285.0,True
35.5,285.25,True
35.5,285.5,True
35.5,285.75,True
35.5,286.0,True
35.5,286.25,True
35.5,286.5,True
35.5,286.75,True
35.5,287.0,True
35.5,287.25,True
35.5,287.5,True
35.5,287.75,True
35.5,288.0,True
35.5,288.25,True
35.5,288.5,True
35.5,288.75,True
35.5,289.0,True
35.5,289.25,True
35.5,289.5,True
35.5,289.75,True
35.5,290.0,True
35.5,290.25,True
35.5,290.5,True
35.5,290.75,True
35.5,291.0,True
35.5,291.25,True
35.5,291.5,True
35.5,291.75,True
35.5,292.0,True
35.5,292.25,True
35.5,292.5,True
35.5,292.75,True
35.5,293.0,True
35.5,293.25,True
35.5,293.5,True
35.5,293.75,True
35.5,294.0,True
35.5,294.25,True
35.5,294.5,True
35.5,294.75,True
35.5,295.0,True
35.5,295.25,True
35.5,295.5,True
35.5,295.75,True
35.75,283.5,True
35.75,283.75,True
35.75,284.0,True
35.75,284.25,True
35.75,284.5,True
35.75,284.75,True
35.75,285.0,True
35.75,285.25,True
35.75,285.5,True
35.75,285.75,True
35.75,286.0,True
35.75,286.25,True
35.75,286.5,True
35.75,286.75,True
35.75,287.0,True
35.75,287.25,True
35.75,287.5,True
35.75,287.75,True
35.75,288.0,True
35.75,288.25,True
35.75,288.5,True
35.75,288.75,True
35.75,289.0,True
35.75,289.25,True
35.75,289.5,True
35.75,289.75,True
35.75,290.0,True
35.75,290.25,True
35.75,290.5,True
35.75,290.75,True
35.75,291.0,True
35.75,291.25,True
35.75,291.5,True
35.75,291.75,True
35.75,292.0,True
35.75,292.25,True
35.75,292.5,True
35.75,292.75,True
35.75,293.0,True
35.75,293.25,True
35.75,293.5,True
35.75,293.75,True
35.75,294.0,True
35.75,294.25,True
35.75,294.5,True
35.75,294.75,True
35.75,295.0,True
35.75,295.25,True
35.75,295.5,True
35.75,295.75,True
35.75,296.0,True
36.0,283.0,True
36.0,283.25,True
36.0,283.5,True
36.0,283.75,True
36.0,284.0,True
36.0,284.25,True
36.0,284.5,True
36.0,284.75,True
36.0,285.0,True
36.0,285.25,True
36.0,285.5,True
36.0,285.75,True
36.0,286.0,True
36.0,286.25,True
36.0,286.5,True
36.0,286.75,True
36.0,287.0,True
36.0,287.25,True
36.0,287.5,True
36.0,287.75,True
36.0,288.0,True
36.0,288.25,True
36.0,288.5,True
36.0,288.75,True
36.0,289.0,True
36.0,289.25,True
36.0,289.5,True
36.0,289.75,True
36.0,290.0,True
36.0,290.25,True
36.0,290.5,True
36.0,290.75,True
36.0,291.0,True
36.0,291.25,True
36.0,291.5,True
36.0,291.75,True
36.0,292.0,True
36.0,292.25,True
36.0,292.5,True
36.0,292.75,True
36.0,293.0,True
36.0,293.25,True
36.0,293.5,True
36.0,293.75,True
36.0,294.0,True
36.0,294.25,True
36.0,294.5,True
36.0,294.75,True
36.0,295.0,True
36.0,295.25,True
36.0,295.5,True
36.0,295.75,True
36.0,296.0,True
36.0,296.25,True
36.25,282.5,True
36.25,282.75,True
36.25,283.0,True
36.25,283.25,True
36.25,283.5,True
36.25,283.75,True
36.25,284.0,True
36.25,284.25,True
36.25,284.5,True
36.25,284.75,True
36.25,285.0,True
36.25,285.25,True
36.25,285.5,True
36.25,285.75,True
36.25,286.0,True
36.25,286.25,True
36.25,286.5,True
36.25,286.75,True
36.25,287.0,True
36.25,287.25,True
36.25,287.5,True
36.25,287.75,True
36.25,288.0,True
36.25,288.25,True
36.25,288.5,True
36.25,288.75,True
36.25,289.0,True
36.25,289.25,True
36.25,289.5,True
36.25,289.75,True
36.25,290.0,True
36.25,290.25,True
36.25,290.5,True
36.25,290.75,True
36.25,291.0,True
36.25,291.25,True
36.25,291.5,True
36.25,291.75,True
36.25,292.0,True
36.25,292.25,True
36.25,292.5,True
36.25,292.75,True
36.25,293.0,True
36.25,293.25,True
36.25,293.5,True
36.25,293.75,True
36.25,294.0,True
36.25,294.25,True
36.25,294.5,True
36.25,294.75,True
36.25,295.0,True
36.25,295.25,True
36.25,295.5,True
36.25,295.75,True
36.25,296.0,True
36.25,296.25,True
36.25,296.5,True
36.5,282.0,True
36.5,282.25,True
36.5,282.5,True
36.5,282.75,True
36.5,283.0,True
36.5,283.25,True
36.5,283.5,True
36.5,283.75,True
36.5,284.0,True
36.5,284.25,True
36.5,284.5,True
36.5,284.75,True
36.5,285.0,True
36.5,285.25,True
36.5,285.5,True
36.5,285.75,True
36.5,286.0,True
36.5,286.25,True
36.5,286.5,True
36.5,286.75,True
36.5,287.0,True
36.5,287.25,True
36.5,287.5,True
36.5,287.75,True
36.5,288.0,True
36.5,288.25,True
36.5,288.5,True
36.5,288.75,True
36.5,289.0,True
36.5,289.25,True
36.5,289.5,True
36.5,289.75,True
36.5,290.0,True
36.5,290.25,True
36.5,290.5,True
36.5,290.75,True
36.5,291.0,True
36.5,291.25,True
36.5,291.5,True
36.5,291.75,True
36.5,292.0,True
36.5,292.25,True
36.5,292.5,True
36.5,292.75,True
36.5,293.0,True
36.5,293.25,True
36.5,293.5,True
36.5,293.75,True
36.5,294.0,True
36.5,294.25,True
36.5,294.5,True
36.5,294.75,True
36.5,295.0,True
36.5,295.25,True
36.5,295.5,True
36.5,295.75,True
36.5,296.0,True
36.5,296.25,True
36.5,296.5,True
36.5,296.75,True
36.75,281.25,True
36.75,281.5,True
36.75,281.75,True
36.75,282.0,True
36.75,282.25,True
36.75,282.5,True
36.75,282.75,True
36.75,283.0,True
36.75,283.25,True
36.75,283.5,True
36.75,283.75,True
36.75,284.0,True
36.75,284.25,True
36.75,284.5,True
36.75,284.75,True
36.75,285.0,True
36.75,285.25,True
36.75,285.5,True
36.75,285.75,True
36.75,286.0,True
36.75,286.25,True
36.75,286.5,True
36.75,286.75,True
36.75,287.0,True
36.75,287.25,True
36.75,287.5,True
36.75,287.75,True
36.75,288.0,True
36.75,288.25,True
36.75,288.5,True
36.75,288.75,True
36.75,289.0,True
36.75,289.25,True
36.75,289.5,True
36.75,289.75,True
36.75,290.0,True
36.75,290.25,True
36.75,290.5,True
36.75,290.75,True
36.75,291.0,True
36.75,291.25,True
36.75,291.5,True
36.75,291.75,True
36.75,292.0,True
36.75,292.25,True
36.75,292.5,True
36.75,292.75,True
36.75,293.0,True
36.75,293.25,True
36.75,293.5,True
36.75,293.75,True
36.75,294.0,True
36.75,294.25,True
36.75,294.5,True
36.75,294.75,True
36.75,295.0,True
36.75,295.25,True
36.75,295.5,True
36.75,295.75,True
36.75,296.0,True
36.75,296.25,True
36.75,296.5,True
36.75,296.75,True
36.75,297.0,True
37.0,280.75,True
37.0,281.0,True
37.0,281.25,True
37.0,281.5,True
37.0,281.75,True
37.0,282.0,True
37.0,282.25,True
37.0,282.5,True
37.0,282.75,True
37.0,283.0,True
37.0,283.25,True
37.0,283.5,True
37.0,283.75,True
37.0,284.0,True
37.0,284.25,True
37.0,284.5,True
37.0,284.75,True
37.0,285.0,True
37.0,285.25,True
37.0,285.5,True
37.0,285.75,True
37.0,286.0,True
37.0,286.25,True
37.0,286.5,True
37.0,286.75,True
37.0,287.0,True
37.0,287.25,True
37.0,287.5,True
37.0,287.75,True
37.0,288.0,True
37.0,288.25,True
37.0,288.5,True
37.0,288.75,True
37.0,289.0,True
37.0,289.25,True
37.0,289.5,True
37.0,289.75,True
37.0,290.0,True
37.0,290.25,True
37.0,290.5,True
37.0,290.75,True
37.0,291.0,True
37.0,291.25,True
37.0,291.5,True
37.0,291.75,True
37.0,292.0,True
37.0,292.25,True
37.0,292.5,True
37.0,292.75,True
37.0,293.0,True
37.0,293.25,True
37.0,293.5,True
37.0,293.75,True
37.0,294.0,True
37.0,294.25,True
37.0,294.5,True
37.0,294.75,True
37.0,295.0,True
37.0,295.25,True
37.0,295.5,True
37.0,295.75,True
37.0,296.0,True
37.0,296.25,True
37.0,296.5,True
37.0,296.75,True
37.0,297.0,True
37.0,297.25,True
37.25,280.25,True
37.25,280.5,True
37.25,280.75,True
37.25,281.0,True
37.25,281.25,True
37.25,281.5,True
37.25,281.75,True
37.25,282.0,True
37.25,282.25,True
37.25,282.5,True
37.25,282.75,True
37.25,283.0,True
37.25,283.25,True
37.25,283.5,True
37.25,283.75,True
37.25,284.0,True
37.25,284.25,True
37.25,284.5,True
37.25,284.75,True
37.25,285.0,True
37.25,285.25,True
37.25,285.5,True
37.25,285.75,True
37.25,286.0,True
37.25,286.25,True
37.25,286.5,True
37.25,286.75,True
37.25,287.0,True
37.25,287.25,True
37.25,287.5,True
37.25,287.75,True
37.25,288.0,True
37.25,288.25,True
37.25,288.5,True
37.25,288.75,True
37.25,289.0,True
37.25,289.25,True
37.25,289.5,True
37.25,289.75,True
37.25,290.0,True
37.25,290.25,True
37.25,290.5,True
37.25,290.75,True
37.25,291.0,True
37.25,291.25,True
37.25,291.5,True
37.25,291.75,True
37.25,292.0,True
37.25,292.25,True
37.25,292.5,True
37.25,292.75,True
37.25,293.0,True
37.25,293.25,True
37.25,293.5,True
37.25,293.75,True
37.25,294.0,True
37.25,294.25,True
37.25,294.5,True
37.25,294.75,True
37.25,295.0,True
37.25,295.25,True
37.25,295.5,True
37.25,295.75,True
37.25,296.0,True
37.25,296.25,True
37.25,296.5,True
37.25,296.75,True
37.25,297.0,True
37.25,297.25,True
37.25,297.5,True
37.5,279.5,True
37.5,279.75,True
37.5,280.0,True
37.5,280.25,True
37.5,280.5,True
37.5,280.75,True
37.5,281.0,True
37.5,281.25,True
37.5,281.5,True
37.5,281.75,True
37.5,282.0,True
37.5,282.25,True
37.5,282.5,True
37.5,282.75,True
37.5,283.0,True
37.5,283.25,True
37.5,283.5,True
37.5,283.75,True
37.5,284.0,True
37.5,284.25,True
37.5,284.5,True
37.5,284.75,True
37.5,285.0,True
37.5,285.25,True
37.5,285.5,True
37.5,285.75,True
37.5,286.0,True
37.5,286.25,True
37.5,286.5,True
37.5,286.75,True
37.5,287.0,True
37.5,287.25,True
